iter	RMSE
0	7.926528222
1	7.592267357
2	7.297992042
3	7.146207173
4	7.014807352
5	6.905495952
6	6.773981968
7	6.621693042
8	6.474156354
9	6.340952526
10	6.245796624
11	6.115365704
12	6.004932997
13	5.910466481
14	5.792585164
15	5.700005974
16	5.63633654
17	5.570341363
18	5.489698979
19	5.430466426
20	5.361733891
21	5.319597836
22	5.288557433
23	5.229788251
24	5.169163355
25	5.113293043
26	5.064203364
27	5.026526707
28	4.986432566
29	4.904459441
30	4.803182332
31	4.719219587
32	4.682356381
33	4.619825105
34	4.589815323
35	4.533564069
36	4.497455934
37	4.475092132
38	4.431776801
39	4.392999867
40	4.363058559
41	4.319874095
42	4.275251226
43	4.242175159
44	4.205305804
45	4.17834482
46	4.116773401
47	4.059394877
48	4.022179708
49	3.982125673
50	3.945787247
51	3.91950106
52	3.904790216
53	3.859975244
54	3.825539445
55	3.797692813
56	3.778102605
57	3.753338078
58	3.724884719
59	3.687795909
60	3.668983392
61	3.631826801
62	3.594899825
63	3.546540119
64	3.523644739
65	3.481222258
66	3.443765378
67	3.416921175
68	3.370797683
69	3.340218849
70	3.316967523
71	3.292441746
72	3.280137568
73	3.256810636
74	3.245450496
75	3.222269424
76	3.203540674
77	3.177000176
78	3.143600689
79	3.100988355
80	3.08543995
81	3.058695005
82	3.047463709
83	3.023257287
84	2.996464504
85	2.971849142
86	2.955996846
87	2.9395697
88	2.910481585
89	2.891075728
90	2.870366951
91	2.84298333
92	2.824577877
93	2.80442269
94	2.788671545
95	2.768116852
96	2.754245026
97	2.735212987
98	2.713190351
99	2.698741798
100	2.668869841
101	2.65413544
102	2.6302162
103	2.608573848
104	2.592832546
105	2.576462572
106	2.554063479
107	2.53830063
108	2.519410536
109	2.510485889
110	2.493111038
111	2.480904741
112	2.472752099
113	2.460475234
114	2.43446163
115	2.412690469
116	2.399172916
117	2.380364367
118	2.374251226
119	2.363035902
120	2.346255441
121	2.331158738
122	2.317981135
123	2.303594283
124	2.28913702
125	2.272582027
126	2.259419518
127	2.243714205
128	2.21938231
129	2.198636225
130	2.193014231
131	2.186132822
132	2.174592453
133	2.165702723
134	2.157122894
135	2.138571764
136	2.129619061
137	2.118624893
138	2.100415128
139	2.090847213
140	2.075023255
141	2.063096114
142	2.048407098
143	2.038634536
144	2.01947686
145	2.007641159
146	1.994665844
147	1.979798772
148	1.973062316
149	1.96337834
150	1.955917121
151	1.942296588
152	1.929852134
153	1.916451525
154	1.90305243
155	1.891956998
156	1.871938537
157	1.857258342
158	1.851348665
159	1.844694156
160	1.829022645
161	1.822557203
162	1.809037266
163	1.80211386
164	1.789019888
165	1.78354421
166	1.777088182
167	1.764824281
168	1.753530946
169	1.747079127
170	1.735024276
171	1.731065618
172	1.722829138
173	1.708868207
174	1.696076511
175	1.690710505
176	1.678494906
177	1.669102236
178	1.666681595
179	1.658418792
180	1.65632595
181	1.648183859
182	1.645586578
183	1.637811688
184	1.622785512
185	1.616068617
186	1.60913908
187	1.605881711
188	1.596949223
189	1.589950669
190	1.585607194
191	1.57754097
192	1.575581718
193	1.570723168
194	1.563513879
195	1.559068806
196	1.554889278
197	1.549525705
198	1.547316634
199	1.543053529
200	1.539394267
201	1.536898389
202	1.533587307
203	1.529811662
204	1.519580931
205	1.512104071
206	1.508342123
207	1.502027219
208	1.501089319
209	1.494008117
210	1.486563941
211	1.476949116
212	1.474510864
213	1.474021798
214	1.470375638
215	1.461613309
216	1.461354972
217	1.454341323
218	1.448957116
219	1.442343845
220	1.441997319
221	1.43668102
222	1.430757621
223	1.418907096
224	1.409733024
225	1.398870923
226	1.398777553
227	1.393557652
228	1.391022853
229	1.383050946
230	1.378579157
231	1.371519624
232	1.366459526
233	1.356179987
234	1.347910876
235	1.340725774
236	1.334963661
237	1.333695475
238	1.327483081
239	1.318237625
240	1.315456935
241	1.315002593
242	1.306592346
243	1.303937086
244	1.303042863
245	1.299411197
246	1.295027713
247	1.291517458
248	1.284291966
249	1.281677762
250	1.281446481
251	1.276057144
252	1.27579362
253	1.271221261
254	1.267760051
255	1.266040675
256	1.261066519
257	1.255357798
258	1.250353801
259	1.246837432
260	1.243552109
261	1.2427707
262	1.240158438
263	1.233871064
264	1.232738674
265	1.226755935
266	1.218759288
267	1.21851304
268	1.218071378
269	1.210777849
270	1.210353295
271	1.205370009
272	1.200159577
273	1.19775838
274	1.197481457
275	1.188227698
276	1.186475336
277	1.18230715
278	1.17745964
279	1.170426664
280	1.168669472
281	1.168534209
282	1.16361836
283	1.159964299
284	1.159845608
285	1.157373769
286	1.15528118
287	1.151679106
288	1.148222301
289	1.143944659
290	1.141478867
291	1.136774242
292	1.130690014
293	1.126896229
294	1.122226072
295	1.117673323
296	1.112204302
297	1.107574364
298	1.102765233
299	1.100404549
