iter	Passed	Remaining
0	359	107563
1	671	100023
2	1020	100990
3	1268	93854
4	1604	94671
5	1890	92613
6	2180	91283
7	2479	90503
8	2811	90918
9	3116	90382
10	3480	91438
11	3798	91155
12	4131	91205
13	4417	90250
14	4777	90769
15	5122	90924
16	5443	90622
17	5777	90513
18	6129	90655
19	6435	90091
20	6782	90116
21	7078	89440
22	7390	89005
23	7717	88749
24	8059	88650
25	8386	88381
26	8688	87848
27	8994	87377
28	9299	86900
29	9657	86917
30	9996	86745
31	10358	86753
32	10660	86253
33	11000	86064
34	11310	85639
35	11669	85577
36	12005	85334
37	12333	85037
38	12661	84732
39	13014	84596
40	13345	84302
41	13678	84026
42	14007	83720
43	14334	83400
44	14657	83056
45	14979	82713
46	15326	82503
47	15665	82242
48	16000	81960
49	16338	81694
50	16691	81495
51	17033	81237
52	17347	80847
53	17667	80483
54	17965	80026
55	18266	79588
56	18594	79272
57	18947	79057
58	19288	78788
59	19627	78511
60	19981	78287
61	20285	77869
62	20627	77597
63	20966	77313
64	21321	77086
65	21719	77006
66	22071	76756
67	22421	76497
68	22756	76184
69	23106	75922
70	23457	75657
71	23869	75587
72	24222	75321
73	24573	75048
74	24899	74697
75	25231	74365
76	25551	74000
77	25877	73651
78	26174	73221
79	26497	72869
80	26810	72488
81	27130	72128
82	27511	71927
83	27888	71713
84	28202	71336
85	28511	70948
86	28806	70526
87	29121	70155
88	29417	69743
89	29715	69335
90	30046	69008
91	30407	68747
92	30736	68414
93	31070	68089
94	31390	67737
95	31721	67407
96	32103	67185
97	32413	66811
98	32869	66735
99	33217	66434
100	33590	66182
101	33927	65858
102	34275	65555
103	34600	65207
104	34910	64833
105	35262	64536
106	35603	64219
107	35930	63877
108	36255	63530
109	36556	63143
110	36928	62877
111	37238	62507
112	37553	62145
113	37890	61820
114	38215	61477
115	38510	61085
116	38837	60745
117	39156	60393
118	39456	60013
119	39806	59709
120	40149	59395
121	40452	59021
122	40811	58729
123	41138	58390
124	41461	58045
125	41777	57693
126	42083	57326
127	42407	56985
128	42712	56619
129	42995	56225
130	43340	55913
131	43618	55514
132	43959	55197
133	44298	54877
134	44587	54496
135	44892	54135
136	45243	53829
137	45576	53502
138	45881	53142
139	46196	52795
140	46543	52485
141	46876	52158
142	47205	51827
143	47530	51491
144	47863	51163
145	48212	50854
146	48534	50515
147	48827	50146
148	49198	49858
149	49558	49558
150	49879	49219
151	50200	48879
152	50496	48515
153	50821	48181
154	51179	47877
155	51532	47568
156	51852	47228
157	52142	46862
158	52483	46542
159	52827	46223
160	53166	45901
161	53636	45690
162	53976	45366
163	54302	45031
164	54607	44678
165	54904	44320
166	55254	44004
167	55564	43657
168	55901	43331
169	56219	42991
170	56562	42670
171	56857	42312
172	57195	41987
173	57548	41672
174	57954	41395
175	58259	41046
176	58565	40698
177	58905	40373
178	59241	40045
179	59527	39684
180	59914	39391
181	60250	39063
182	60548	38711
183	60831	38349
184	61171	38025
185	61521	37706
186	61839	37368
187	62142	37021
188	62437	36669
189	62769	36340
190	63048	35980
191	63403	35664
192	63717	35325
193	64104	35026
194	64452	34704
195	64782	34374
196	65076	34024
197	65353	33666
198	65666	33328
199	65964	32982
200	66269	32640
201	66586	32304
202	66892	31963
203	67233	31639
204	67634	31342
205	68037	31046
206	68359	30712
207	68692	30383
208	68949	30020
209	69222	29666
210	69535	29330
211	69849	28994
212	70182	28666
213	70344	28269
214	70687	27946
215	71014	27616
216	71340	27286
217	71646	26949
218	71967	26618
219	72371	26317
220	72671	25977
221	72973	25639
222	73270	25299
223	73596	24970
224	73905	24635
225	74233	24306
226	74527	23966
227	74866	23642
228	75095	23283
229	75366	22937
230	75709	22614
231	76007	22278
232	76314	21944
233	76637	21615
234	76956	21285
235	77276	20956
236	77604	20629
237	78046	20331
238	78379	20004
239	78696	19674
240	79011	19342
241	79333	19013
242	79662	18686
243	80014	18364
244	80190	18001
245	80473	17665
246	80792	17336
247	81119	17009
248	81384	16669
249	81695	16339
250	81979	16003
251	82267	15670
252	82581	15341
253	82938	15020
254	83263	14693
255	83586	14366
256	84002	14054
257	84337	13729
258	84693	13407
259	85045	13083
260	85367	12756
261	85731	12434
262	85949	12091
263	86288	11766
264	86575	11434
265	86907	11108
266	87257	10784
267	87535	10452
268	87813	10119
269	88215	9801
270	88499	9470
271	88882	9149
272	89276	8829
273	89644	8506
274	90026	8184
275	90362	7857
276	90673	7528
277	90982	7200
278	91272	6869
279	91578	6541
280	91889	6213
281	92263	5889
282	92596	5562
283	92873	5232
284	93162	4903
285	93490	4576
286	93881	4252
287	94183	3924
288	94476	3595
289	94788	3268
290	95118	2941
291	95431	2614
292	95755	2287
293	96189	1963
294	96500	1635
295	96831	1308
296	97141	981
297	97465	654
298	97846	327
299	98150	0
